top_n,final_value,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,cash_ratio,average_invested_weight,average_holding_count,maximum_holding_count,rebalance_days,total_buy_turnover,total_sell_turnover,total_cost
1,1.8337697542893734,0.8337697542893734,0.10360781792684448,0.19965797112230396,0.5189265289256982,-0.2550410754294248,0.7361290322580645,0.26387096774193547,0.26387096774193547,1,26,17.0,16.0,0.033
2,1.5556399409527284,0.5556399409527284,0.07448585560539689,0.1520065453985608,0.4900174226714722,-0.236503318628005,0.7751612903225806,0.22483870967741937,0.44967741935483874,2,28,14.0,13.5,0.0275
3,1.4447322399864597,0.4447322399864597,0.06164258990924654,0.12994530835240664,0.4743733397597874,-0.19838883671247198,0.8017204301075269,0.1982795698924731,0.5948387096774194,3,28,11.666666666666666,11.333333333333332,0.023
4,1.392764129053558,0.39276412905355795,0.055338321687547154,0.11981381135293084,0.4618693042368816,-0.17373051163517494,0.8314516129032258,0.1685483870967742,0.6741935483870968,4,29,9.25,9.0,0.018250000000000002
