date,gross_return,buy_turnover,sell_turnover,cost,net_return,net_value,invested_weight,cash_weight,holding_count,drawdown
2023-02-01,0.015730510531904475,1.0,-0.0,0.001,0.014730510531904474,1.441187208829578,1.0,0.0,3,0.0
2023-02-02,-0.012400723238482327,0.0,-0.0,0.0,-0.012400723238482327,1.4233154451180416,1.0,0.0,3,-0.012400723238482292
2023-02-03,-0.01170727405798222,0.0,-0.0,0.0,-0.01170727405798222,1.4066523011310859,1.0,0.0,3,-0.023962818630994365
2023-02-06,-0.014574920005700043,0.0,-0.0,0.0,-0.014574920005700043,1.3861504563662663,1.0,0.0,3,-0.038188482472036656
2023-02-07,0.0004364861907815523,0.0,-0.0,0.0,0.0004364861907815523,1.3867554918988156,1.0,0.0,3,-0.037768665026501114
2023-02-08,-0.0063429818313703494,0.0,-0.0,0.0,-0.0063429818313703494,1.3779593270091484,1.0,0.0,3,-0.04387208090181327
2023-02-09,0.01572098929852772,0.0,-0.0,0.0,0.01572098929852772,1.3996222108428655,1.0,0.0,3,-0.028840804117647223
2023-02-10,-0.01244920711817421,0.0,-0.0,0.0,-0.01244920711817421,1.3821980240528857,1.0,0.0,3,-0.04093096609190616
2023-02-13,0.007453786714092691,0.0,-0.0,0.0,0.007453786714092691,1.3925006333208163,1.0,0.0,3,-0.03378227006906431
2023-02-14,-0.002945082731666641,0.0,-0.0,0.0,-0.002945082731666641,1.3883996037517883,1.0,0.0,3,-0.03662786122051409
2023-02-15,-0.008028750737701262,0.0,-0.0,0.0,-0.008028750737701262,1.377252489408942,1.0,0.0,3,-0.044362535990420726
2023-02-16,-0.012455343114101753,0.0,-0.0,0.0,-0.012455343114101753,1.3600983370986028,1.0,0.0,3,-0.05626532849735
2023-02-17,-0.021815475213694126,0.0,-0.0,0.0,-0.021815475213694126,1.3304271455374417,1.0,0.0,3,-0.07685334883181982
2023-02-20,0.020713547275037564,0.0,-0.0,0.0,0.020713547275037564,1.3579850111125247,1.0,0.0,3,-0.057731707031055235
2023-02-21,0.0018870736447345418,0.0,-0.0,0.0,0.0018870736447345418,1.3605476288369396,1.0,0.0,3,-0.05595357736912454
2023-02-22,-0.008596605436998583,0.0,-0.0,0.0,-0.008596605436998583,1.3488515376935843,1.0,0.0,3,-0.06406917197869222
2023-02-23,0.008226854758399682,0.0,-0.0,0.0,0.008226854758399682,1.3599483433848336,1.0,0.0,3,-0.056369404992652195
2023-02-24,-0.015052131781978763,0.0,-0.0,0.0,-0.015052131781978763,1.3394782217035215,1.0,0.0,3,-0.07057305706220973
2023-02-27,-0.007030022300728058,0.0,-0.0,0.0,-0.007030022300728058,1.3300616599336061,1.0,0.0,3,-0.0771069491979599
2023-02-28,0.006267670580415367,0.0,-0.0,0.0,0.006267670580415367,1.3383980482697104,1.0,0.0,3,-0.07132255957457823
2023-03-01,0.0,0.0,1.0,0.001,-0.001,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-02,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-03,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-06,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-07,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-08,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-09,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-10,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-13,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-14,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-15,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-16,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-17,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-20,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-21,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-22,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-23,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-24,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-27,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-28,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-29,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-30,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-03-31,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-03,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-04,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-06,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-07,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-10,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-11,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-12,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-13,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-14,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-17,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-18,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-19,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-20,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-21,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-24,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
2023-04-25,0.0,0.0,-0.0,0.0,0.0,1.3370596502214407,0.0,1.0,0,-0.07225123701500369
