,gross_return_contribution,holding_days,average_weight_all_days,average_weight_when_held,positive_contribution_days,negative_contribution_days
kc50,0.2705091887839365,163,0.05408602150537638,0.5143149284253579,88,72
new_energy,0.17756299617115145,206,0.046666666666666766,0.3511326860841424,109,97
medicine,0.13546896881335765,60,0.02419354838709676,0.625,32,26
cyb,0.12793731389067645,198,0.05247311827956976,0.41077441077441085,99,99
zz500,0.030809381335964784,83,0.02881720430107527,0.538152610441767,39,44
dividend,0.028516612405420583,46,0.01978494623655912,0.6666666666666666,19,25
securities,0.006220456198576356,105,0.022580645161290304,0.3333333333333333,51,51
hs300,0.0,0,0.0,,0,0
consumer,-0.04904734845482888,61,0.015268817204301064,0.3879781420765027,22,36
