month,top1_return,top3_return,top3_minus_top1
2021-07,0.15943312666076181,0.04717964800543273,-0.11225347865532909
2021-06,0.1301186850156928,0.06810280565415328,-0.062015879361539517
2025-10,0.0282859516389673,-0.012450337596493277,-0.04073628923546058
2023-02,-0.0312796821619129,-0.0576426667576494,-0.026362984595736494
2021-01,0.05585588241639061,0.03869132314606105,-0.01716455927032956
2025-11,-0.033481380252819104,-0.03854043293270626,-0.005059052679887155
2023-08,-0.04537997525736115,-0.04939631655701582,-0.004016341299654669
2020-06,0.0,0.0,0.0
2020-08,0.0,0.0,0.0
2020-09,0.0,0.0,0.0
2020-11,0.0,0.0,0.0
2020-10,0.0,0.0,0.0
2020-12,0.0,0.0,0.0
2021-02,-0.0010000000000000009,-0.0010000000000000009,0.0
2020-05,0.0,0.0,0.0
