month,top1_return,top3_return,top3_minus_top1
2025-08,0.0339501128455888,0.15272875367687755,0.11877864083128875
2025-09,0.10970374725572718,0.15614412165301395,0.046440374397286766
2026-03,-0.12151614044473114,-0.0809166596861175,0.04059948075861364
2021-05,0.029356652092442648,0.06526896865391696,0.03591231656147431
2024-10,-0.050075536496770434,-0.03546994606552445,0.014605590431245985
2024-11,-0.003867120424274728,0.007507814525410383,0.011374934949685112
2025-07,0.050240968878128234,0.06082426979906841,0.010583300920940175
2020-06,0.0,0.0,0.0
2020-01,0.0,0.0,0.0
2020-02,0.0,0.0,0.0
2020-03,0.0,0.0,0.0
2020-04,0.0,0.0,0.0
2020-05,0.0,0.0,0.0
2025-01,0.0,0.0,0.0
2020-12,0.0,0.0,0.0
