stop_loss,event_count,effective_count,missed_profit_count,reduced_loss_count,avg_return_at_stop,avg_return_to_planned_exit,avg_saved_or_missed,total_saved_or_missed
0.05,5,3,1,1,-0.08698272297753067,-0.06529079651079808,0.02169192646673259,0.10845963233366296
0.08,4,2,1,1,-0.11396025651476666,-0.06785202774858937,0.04610822876617729,0.18443291506470916
0.1,3,2,1,0,-0.1241310323906764,-0.07690545035858039,0.047225582032096,0.141676746096288
0.12,2,1,0,1,-0.15131128122860193,-0.16392561089775876,-0.01261432966915682,-0.02522865933831364
0.15,1,1,0,0,-0.16280806572068707,-0.20761762509335324,-0.044809559372666175,-0.044809559372666175
