momentum_window,year,strategy_return,year_max_drawdown,cash_ratio
5,2020,0.0,-0.10646687697160884,0.9053497942386831
5,2021,0.3236247689665124,-0.16952673185456768,0.5185185185185185
5,2022,0.0,0.0,1.0
5,2023,-0.12280952255701783,-0.1306979261311454,0.7272727272727273
5,2024,-0.0644691589142542,-0.25504107542942456,0.7479338842975206
5,2025,0.2865956270640715,-0.3045848515373767,0.07407407407407407
5,2026,0.09163192060808756,-0.1444255096605752,0.22105263157894736
10,2020,0.0,-0.10646687697160884,0.9053497942386831
10,2021,0.5520604713675441,-0.14971910112359588,0.42386831275720166
10,2022,0.0,0.0,1.0
10,2023,-0.07468862838147083,-0.09869646182495329,0.7272727272727273
10,2024,0.04435211489168722,-0.16500128317181795,0.7479338842975206
10,2025,0.21487623675066692,-0.13057775896592738,0.18106995884773663
10,2026,0.09927740354414238,-0.1402083094883827,0.22105263157894736
20,2020,-0.06486855582109963,-0.0728634661218932,0.9053497942386831
20,2021,0.2727240198562435,-0.19500276573679431,0.42386831275720166
20,2022,0.0,0.0,1.0
20,2023,-0.12280952255701749,-0.13069792613114495,0.7272727272727273
20,2024,0.0873169277519732,-0.19464854461095282,0.7479338842975206
20,2025,0.05912654055236244,-0.22341566413466496,0.24691358024691357
20,2026,0.19785925107231073,-0.08625102305599175,0.22105263157894736
30,2020,-0.06486855582109963,-0.0728634661218932,0.9053497942386831
30,2021,0.23505517832194323,-0.22492151103285518,0.5185185185185185
30,2022,0.0,0.0,1.0
30,2023,-0.08169160702548095,-0.09869646182495373,0.7272727272727273
30,2024,-0.029916625796959084,-0.1650012831718184,0.7479338842975206
30,2025,0.0021244704905727385,-0.2701412798847789,0.1522633744855967
30,2026,0.09927740354414216,-0.1716196877868319,0.22105263157894736
40,2020,-0.06486855582109963,-0.0728634661218932,0.9053497942386831
40,2021,0.02298497403705091,-0.28761358927699643,0.42386831275720166
40,2022,0.0,-0.03716985889045976,1.0
40,2023,-0.04108879612792826,-0.09869646182495351,0.7272727272727273
40,2024,0.04435211489168722,-0.16500128317181828,0.7479338842975206
40,2025,0.23647348459765194,-0.2113787303299841,0.07407407407407407
40,2026,0.0833027305775591,-0.14020830948838303,0.22105263157894736
50,2020,-0.06486855582109963,-0.0728634661218932,0.9053497942386831
50,2021,0.03955318026929833,-0.27908322884444114,0.42386831275720166
50,2022,0.0,-0.021575916897770275,1.0
50,2023,-0.05942233877414449,-0.0986964618249534,0.7272727272727273
50,2024,-0.02991662579695975,-0.16500128317181806,0.7479338842975206
50,2025,0.213598275708331,-0.29190432894530083,0.07407407407407407
50,2026,0.018301433811000134,-0.16943949910508127,0.22105263157894736
60,2020,-0.06486855582109963,-0.0728634661218932,0.9053497942386831
60,2021,0.182143249597857,-0.23639773161875077,0.42386831275720166
60,2022,0.0,0.0,1.0
60,2023,-0.059422338774144046,-0.09869646182495351,0.7272727272727273
60,2024,-0.02991662579695953,-0.16500128317181828,0.7479338842975206
60,2025,0.438638036319424,-0.1510403755495805,0.16049382716049382
60,2026,-0.011192498575958498,-0.21027683345633996,0.22105263157894736
80,2020,-0.06486855582109963,-0.0728634661218932,0.9053497942386831
80,2021,0.2249771095813855,-0.2376763485477179,0.42386831275720166
80,2022,0.0,0.0,1.0
80,2023,-0.09924885947700424,-0.11629935720844853,0.7272727272727273
80,2024,-0.02991662579695953,-0.1767465216906926,0.7479338842975206
80,2025,0.15528233874735564,-0.22237823351698327,0.07818930041152264
80,2026,0.033317580200531216,-0.1645256768982818,0.22105263157894736
100,2020,0.13443550141396554,-0.017798690671031014,0.9053497942386831
100,2021,-0.08364060378375315,-0.2802903708686916,0.42386831275720166
100,2022,0.0,-0.13752550706185962,1.0
100,2023,-0.12451964615938205,-0.24492052574400935,0.7272727272727273
100,2024,-0.02991662579695975,-0.30046830462502894,0.7479338842975206
100,2025,0.16337162710692943,-0.375426592152163,0.0
100,2026,0.1295565678912931,-0.1560486557801909,0.22105263157894736
120,2020,0.13443550141396554,-0.017798690671031014,0.9053497942386831
120,2021,-0.07069513173396258,-0.23767634854771835,0.42386831275720166
120,2022,0.0,-0.1581500463077128,1.0
120,2023,-0.11071064140851983,-0.25135179465071866,0.7272727272727273
120,2024,-0.029916625796959306,-0.30642645419088155,0.7479338842975206
120,2025,0.16049090568078417,-0.37060364560513814,0.0
120,2026,0.12765843500300544,-0.1621334847485053,0.22105263157894736
