momentum_threshold,final_value,total_return,annual_return,annual_vol,sharpe,max_drawdown,trade_count,cash_ratio
0.0,1.7704859918898508,0.7704859918898508,0.09330478791073671,0.21477310382423806,0.43443422965611983,-0.2650131500218824,29,0.636774193548387
0.005,1.7704859918898508,0.7704859918898508,0.09330478791073671,0.21477310382423806,0.43443422965611983,-0.2650131500218824,29,0.636774193548387
0.01,1.7704859918898508,0.7704859918898508,0.09330478791073671,0.21477310382423806,0.43443422965611983,-0.2650131500218824,29,0.636774193548387
0.015,1.7704859918898508,0.7704859918898508,0.09330478791073671,0.21477310382423806,0.43443422965611983,-0.2650131500218824,29,0.636774193548387
0.02,1.7730586856205002,0.7730586856205002,0.093552718857292,0.20712789236712315,0.45166644524859445,-0.2550410754294248,32,0.6696774193548387
0.025,1.7730586856205002,0.7730586856205002,0.093552718857292,0.20712789236712315,0.45166644524859445,-0.2550410754294248,32,0.6696774193548387
0.03,1.8302365212295846,0.8302365212295846,0.09898610699069255,0.20318980948976303,0.48716078448648575,-0.25504107542942467,28,0.7212903225806452
0.035,1.8302365212295846,0.8302365212295846,0.09898610699069255,0.20318980948976303,0.48716078448648575,-0.25504107542942467,28,0.7212903225806452
0.04,1.8337697542893734,0.8337697542893734,0.09931713429007316,0.19965797112230396,0.4974363594491037,-0.2550410754294248,27,0.7361290322580645
0.05,1.577463858919945,0.577463858919945,0.0737734101417773,0.1955436669993637,0.37727332863210217,-0.26599089824601385,24,0.7606451612903226
