date,selected_etf,best_etf,best_momentum,hs300_close,hs300_ma200,reason
2020-01-23,cash,cyb,0.0076128330614464446,3.996,,ma200_nan
2020-02-28,cash,securities,0.03459119496855356,3.933,,ma200_nan
2020-03-31,cash,consumer,0.08336264509321145,3.669,,ma200_nan
2020-04-30,cash,consumer,0.03959455178967364,3.908,,ma200_nan
2020-05-29,cash,consumer,0.013533834586466176,3.866,,ma200_nan
2020-06-30,cash,cyb,0.1018215787015413,4.178,,ma200_nan
2020-07-31,cash,medicine,0.09508196721311468,4.75,,ma200_nan
2020-08-31,cash,consumer,0.08663697104677048,4.874,,ma200_nan
2020-09-30,cash,securities,0.022861981371718798,4.646,,ma200_nan
2020-10-30,cash,consumer,-0.010964912280701733,4.757,,ma200_nan
2020-11-30,securities,securities,0.03647158608990653,5.031,4.367795,buy
2020-12-31,cyb,cyb,0.06384558277654051,5.287,4.487955,buy
2021-01-29,medicine,medicine,0.016425755584756896,5.348,4.66753,buy
2021-02-26,dividend,dividend,0.055222088835534144,5.329,4.799119999999999,buy
2021-03-31,medicine,medicine,0.05286183011301504,5.05,4.93702,buy
2021-04-30,medicine,medicine,0.1399074403702385,5.128,5.03158,buy
2021-05-31,new_energy,new_energy,0.10532150776053206,5.338,5.0709100000000005,buy
2021-06-30,new_energy,new_energy,0.1772679874869656,5.256,5.115525,buy
2021-07-30,cash,new_energy,0.06596091205211718,4.872,5.156285,hs300_below_ma200
2021-08-31,cash,new_energy,0.11493354182955429,4.879,5.169699999999999,hs300_below_ma200
2021-09-30,cash,consumer,0.08518877057115204,4.935,5.16375,hs300_below_ma200
2021-10-29,cash,new_energy,0.08442503639010179,4.981,5.1587749999999994,hs300_below_ma200
2021-11-30,cash,new_energy,0.0644699140401146,4.911,5.09915,hs300_below_ma200
2021-12-31,cash,consumer,0.012594458438287104,5.008,5.051295,hs300_below_ma200
2022-01-28,cash,consumer,-0.02127659574468077,4.554,5.02751,best_momentum_le_0
2022-02-28,cash,new_energy,0.13709677419354827,4.571,4.99099,hs300_below_ma200
2022-03-31,cash,dividend,0.0913043478260871,4.218,4.886185,hs300_below_ma200
2022-04-29,cash,consumer,-0.021235521235521193,4.015,4.77934,best_momentum_le_0
2022-05-31,cash,new_energy,0.05324298160697016,4.089,4.672965,hs300_below_ma200
2022-06-30,cash,medicine,0.10240963855421703,4.508,4.60164,hs300_below_ma200
2022-07-29,cash,zz500,0.016963528413910023,4.22,4.538375,hs300_below_ma200
2022-08-31,cash,consumer,0.010280373831775602,4.141,4.449285,hs300_below_ma200
2022-09-30,cash,consumer,0.017578125,3.868,4.3512900000000005,hs300_below_ma200
2022-10-31,cash,kc50,0.054726368159204064,3.565,4.249135,hs300_below_ma200
2022-11-30,cash,dividend,0.035383029886636885,3.911,4.13936,hs300_below_ma200
2022-12-30,cash,medicine,0.017021276595744705,3.938,4.0756,hs300_below_ma200
2023-01-31,securities,securities,0.06458797327394206,4.159,4.0668,buy
2023-02-28,dividend,dividend,0.02693125442948263,4.071,4.069915,buy
2023-03-31,cash,kc50,0.06439393939393945,4.05,4.069585,hs300_below_ma200
2023-04-28,cash,dividend,0.031703204047217604,4.025,4.04116,hs300_below_ma200
2023-05-31,cash,kc50,0.02332089552238803,3.802,4.002495,hs300_below_ma200
2023-06-30,cash,new_energy,0.06416464891041174,3.882,3.969435,hs300_below_ma200
2023-07-31,securities,securities,0.13058035714285698,4.084,3.958805,buy
2023-08-31,cash,kc50,0.03459119496855356,3.839,3.9758,hs300_below_ma200
2023-09-28,cash,medicine,0.041362530413625365,3.764,3.969935,hs300_below_ma200
2023-10-31,cash,consumer,0.02840909090909083,3.644,3.943685,hs300_below_ma200
2023-11-30,cash,medicine,0.0092592592592593,3.562,3.89292,hs300_below_ma200
2023-12-29,cash,new_energy,0.06788079470198682,3.499,3.8246249999999997,hs300_below_ma200
2024-01-31,cash,securities,0.009445100354191327,3.222,3.7485649999999997,hs300_below_ma200
2024-02-29,cash,kc50,0.09009009009009006,3.503,3.6980399999999998,hs300_below_ma200
2024-03-29,cash,dividend,0.0003256268316509381,3.526,3.65858,hs300_below_ma200
2024-04-30,cash,securities,0.0791100123609394,3.598,3.624305,hs300_below_ma200
2024-05-31,cash,dividend,0.013312693498451988,3.582,3.594185,hs300_below_ma200
2024-06-28,cash,dividend,-0.0068259385665528916,3.487,3.557415,best_momentum_le_0
2024-07-31,cash,securities,0.06997455470737912,3.508,3.52068,hs300_below_ma200
2024-08-30,cash,new_energy,0.011673151750972721,3.392,3.4921699999999998,hs300_below_ma200
2024-09-30,cyb,cyb,0.46360655737704937,4.233,3.4712599999999996,buy
2024-10-31,new_energy,new_energy,0.14557967178401277,3.971,3.5245550000000003,buy
2024-11-29,kc50,kc50,0.019230769230769162,4.001,3.600885,buy
2024-12-31,kc50,kc50,0.025515210991167825,4.022,3.67159,buy
2025-01-27,cyb,cyb,0.04428424304840384,3.907,3.70137,buy
2025-02-28,kc50,kc50,0.05102040816326525,3.994,3.744395,buy
2025-03-31,cash,dividend,-0.0012999675008125156,3.984,3.786125,best_momentum_le_0
2025-04-30,cyb,cyb,0.027272727272727337,3.866,3.82063,buy
2025-05-30,medicine,medicine,0.02754820936639124,3.959,3.8658099999999997,buy
2025-06-30,new_energy,new_energy,0.05348189415041782,3.982,3.9211800000000006,buy
2025-07-31,medicine,medicine,0.0749354005167957,4.155,3.9985250000000003,buy
2025-08-29,kc50,kc50,0.21934369602763382,4.601,4.03159,buy
2025-09-30,new_energy,new_energy,0.10673938449552,4.741,4.09235,buy
2025-10-31,new_energy,new_energy,0.10120391271632823,4.756,4.150765,buy
2025-11-28,cash,consumer,-0.015439429928741144,4.635,4.23252,best_momentum_le_0
