year,selected_etf,holding_days,holding_ratio,simple_return_sum
2020,cash,220,0.9053497942386831,0.0
2020,dividend,23,0.09465020576131687,-0.06632520996224918
2021,cash,103,0.42386831275720166,0.0
2021,consumer,35,0.1440329218106996,0.0091222136519928
2021,medicine,23,0.09465020576131687,-0.039839314300292805
2021,new_energy,22,0.09053497942386832,0.15924384737714234
2021,cyb,21,0.08641975308641975,0.0571010470260383
2021,zz500,21,0.08641975308641975,0.0382832718399351
2021,dividend,18,0.07407407407407407,0.0215208259173884
2022,cash,242,1.0,0.0
2023,cash,176,0.7272727272727273,0.0
2023,consumer,43,0.17768595041322313,-0.013590966874265017
2023,securities,23,0.09504132231404959,-0.040925939859581
2024,cash,181,0.7479338842975206,0.0
2024,new_energy,61,0.25206611570247933,-0.010748319420255996
2025,kc50,56,0.23045267489711935,0.021918020434239474
2025,cyb,43,0.17695473251028807,0.34613488957853245
2025,new_energy,43,0.17695473251028807,-0.0154035040107307
2025,cash,39,0.16049382716049382,0.0
2025,securities,23,0.09465020576131687,0.05459275938188131
2025,medicine,20,0.0823045267489712,-0.012609234966785196
2025,consumer,19,0.07818930041152264,0.0038822950631477032
2026,zz500,36,0.37894736842105264,-0.08763802199344992
2026,cash,21,0.22105263157894736,0.0
2026,dividend,20,0.21052631578947367,-0.010442068676068911
2026,cyb,18,0.18947368421052632,0.09721387443625101
