date,selected_etf,best_etf,best_momentum,hs300_close,hs300_ma200,reason
2020-01-23,cash,cash,,3.996,,momentum_nan
2020-02-28,cash,cash,,3.933,,momentum_nan
2020-03-31,cash,cash,,3.669,,momentum_nan
2020-04-30,cash,consumer,0.1827027027027028,3.908,,ma200_nan
2020-05-29,cash,consumer,0.1147866357922593,3.866,,ma200_nan
2020-06-30,cash,cyb,0.3171412618648799,4.178,,ma200_nan
2020-07-31,cash,medicine,0.4119304837952089,4.75,,ma200_nan
2020-08-31,cash,consumer,0.4109311740890686,4.874,,ma200_nan
2020-09-30,cash,consumer,0.0468074891982714,4.646,,ma200_nan
2020-10-30,cash,consumer,0.0203619909502261,4.757,,ma200_nan
2020-11-30,dividend,dividend,0.0464451589853518,5.031,4.367795,buy
2020-12-31,consumer,consumer,0.1958266452648476,5.287,4.487955,buy
2021-01-29,consumer,consumer,0.1434707903780068,5.348,4.66753,buy
2021-02-26,medicine,medicine,0.1884570082449941,5.329,4.799119999999999,buy
2021-03-31,zz500,zz500,0.0091569767441859,5.05,4.93702,buy
2021-04-30,dividend,dividend,0.098406374501992,5.128,5.03158,buy
2021-05-31,cyb,cyb,0.1175236096537251,5.338,5.0709100000000005,buy
2021-06-30,new_energy,new_energy,0.355342136854742,5.256,5.115525,buy
2021-07-30,cash,new_energy,0.4528301886792452,4.872,5.156285,hs300_below_ma200
2021-08-31,cash,new_energy,0.4761904761904763,4.879,5.169699999999999,hs300_below_ma200
2021-09-30,cash,new_energy,0.221014492753623,4.935,5.16375,hs300_below_ma200
2021-10-29,cash,new_energy,0.2375415282392026,4.981,5.1587749999999994,hs300_below_ma200
2021-11-30,cash,consumer,0.1435594886922322,4.911,5.09915,hs300_below_ma200
2021-12-31,cash,consumer,0.0432525951557094,5.008,5.051295,hs300_below_ma200
2022-01-28,cash,securities,-0.0182481751824817,4.554,5.02751,best_momentum_le_0
2022-02-28,cash,dividend,0.0166253979483552,4.571,4.99099,hs300_below_ma200
2022-03-31,cash,dividend,0.0549912434325743,4.218,4.886185,hs300_below_ma200
2022-04-29,cash,dividend,0.0378651280201947,4.015,4.77934,hs300_below_ma200
2022-05-31,cash,dividend,-0.0034435261707987,4.089,4.672965,best_momentum_le_0
2022-06-30,cash,consumer,0.1491053677932405,4.508,4.60164,hs300_below_ma200
2022-07-29,cash,new_energy,0.358786610878661,4.22,4.538375,hs300_below_ma200
2022-08-31,cash,consumer,0.0305052430886558,4.141,4.449285,hs300_below_ma200
2022-09-30,cash,dividend,0.0081743869209809,3.868,4.3512900000000005,hs300_below_ma200
2022-10-31,cash,dividend,-0.0530851430541192,3.565,4.249135,best_momentum_le_0
2022-11-30,cash,dividend,0.0131092436974789,3.911,4.13936,hs300_below_ma200
2022-12-30,cash,medicine,0.0814479638009049,3.938,4.0756,hs300_below_ma200
2023-01-31,consumer,consumer,0.2651869158878503,4.159,4.0668,buy
2023-02-28,consumer,consumer,0.1785714285714283,4.071,4.069915,buy
2023-03-31,cash,kc50,0.1195219123505977,4.05,4.069585,hs300_below_ma200
