stop_loss,peak_date,trough_date,peak_equity,trough_equity,max_drawdown
,2024-10-08,2024-10-17,1.8081902424927978,1.3470274584664423,-0.2550410754294248
0.05,2024-10-08,2025-10-10,1.812073835246629,1.4301477926664603,-0.21076737335495344
0.08,2024-10-08,2025-10-17,1.8081902424927978,1.3694011857891741,-0.2426675282235251
0.1,2024-10-08,2025-10-17,1.8081902424927978,1.3708406200143284,-0.2418714647389828
0.12,2024-10-08,2025-09-04,1.8081902424927978,1.4681974694138362,-0.18802931521754174
0.15,2024-10-08,2025-09-04,1.8081902424927978,1.4681974694138362,-0.18802931521754174
