stop_loss,final_value,total_return,annual_return,annual_vol,sharpe,max_drawdown,trade_count,cash_ratio,stop_count
,1.8337697542893734,0.8337697542893734,0.09931713429007316,0.19965797112230396,0.4974363594491037,-0.2550410754294248,26,0.7361290322580645,0
0.05,1.6681876686236732,0.6681876686236732,0.08319084727465165,0.17803576880227368,0.4672704133237592,-0.21076737335495344,28,0.8,5
0.08,1.5365698700611456,0.5365698700611456,0.06937826288187021,0.1814693515778424,0.3823139405009114,-0.2426675282235251,28,0.7851612903225806,4
0.1,1.6081424438793757,0.6081424438793757,0.07700795060345333,0.18906123919292478,0.4073174963423978,-0.2418714647389828,28,0.7645161290322581,3
0.12,1.8939267981358543,0.8939267981358543,0.10487223102485221,0.1931515329908984,0.5429531384034832,-0.18802931521754174,27,0.7516129032258064,2
0.15,1.9371167873842832,0.9371167873842832,0.1087694182881449,0.19378415056419304,0.5612916121956728,-0.18802931521754174,27,0.7470967741935484,1
