year,strategy_return,benchmark_return,excess_return,strategy_year_max_drawdown,benchmark_year_max_drawdown
2020,0.0,0.27428295974933437,-0.27428295974933437,-0.10646687697160884,-0.16087577344121828
2021,0.5520604713675441,-0.06111736032996029,0.6131778316975044,-0.149719101123596,-0.17186154640950624
2022,0.0,-0.2108216432865726,0.2108216432865726,0.0,-0.2855711422845688
2023,-0.07468862838147083,-0.11395289946821896,0.039264271086748126,-0.09869646182495329,-0.1988109393579066
2024,-0.06446915891425342,0.16478424558354932,-0.22925340449780274,-0.2550410754294248,-0.12443336355394397
2025,0.21487623675066625,0.21591199795344163,-0.001035761202775376,-0.11907066795740584,-0.10075444146994406
2026,0.09927740354414238,0.01630883567299679,0.0829685678711456,-0.14020830948838303,-0.09941044927830889
