year,selected_etf,holding_days,holding_ratio,simple_return_sum,compound_return
2020,cash,220,0.9053497942386831,0.0,0.0
2020,securities,23,0.09465020576131687,0.0044335177422773,6.661338147750939e-16
2021,cash,103,0.42386831275720166,0.0,0.0
2021,medicine,54,0.2222222222222222,0.12201399289687259,0.1165601548524815
2021,new_energy,43,0.17695473251028807,0.28820143742249904,0.3129388164493503
2021,dividend,23,0.09465020576131687,0.04056686665702432,0.0401971937808121
2021,cyb,20,0.0823045267489712,0.0598045253008024,0.056873691556176276
2022,cash,242,1.0,0.0,0.0
2023,cash,176,0.7272727272727273,0.0,0.0
2023,securities,43,0.17768595041322313,-0.0693414654012044,-0.07340969075656467
2023,dividend,23,0.09504132231404959,-0.0009857881045694998,-0.0013802622498279016
2024,cash,181,0.7479338842975206,0.0,0.0
2024,kc50,22,0.09090909090909091,-0.0125218899457957,-0.014150943396226356
2024,new_energy,21,0.08677685950413223,0.0022963394984384967,-0.0018484288354889689
2024,cyb,18,0.0743801652892562,-0.010864736061987597,-0.049283154121863015
2025,kc50,61,0.25102880658436216,0.028471833267508323,0.017686944080587574
2025,new_energy,60,0.24691358024691357,0.06082573300522299,0.04685508022495388
2025,cash,44,0.18106995884773663,0.0,0.0
2025,medicine,41,0.16872427983539096,0.02461860159109811,0.022169519488554723
2025,cyb,37,0.1522633744855967,0.0784871270462842,0.07716744340297876
2026,zz500,56,0.5894736842105263,0.021065785937854298,0.012519768054824354
2026,cash,21,0.22105263157894736,0.0,0.0
2026,kc50,18,0.18947368421052632,0.118240106923693,0.1148730350665057
