year,strategy_return,benchmark_return,excess_return
2020,0.11051333213585979,0.27428295974933437,-0.16376962761347458
2021,0.39160782642839465,-0.06111736032996029,0.45272518675835494
2022,-0.345114030990504,-0.2108216432865725,-0.13429238770393148
2023,-0.07500093099797456,-0.11395289946821896,0.0389519684702444
2024,-0.08886445670907783,0.16478424558354932,-0.25364870229262715
2025,0.4386380363194258,0.21591199795344163,0.22272603836598415
2026,0.08343496154698116,0.01630883567299679,0.06712612587398437
