year,yearly_return,yearly_vol,yearly_max_drawdown,trade_count,cash_ratio
2020,0.0,0.0,0.0,0,1.0
2021,0.634293038122641,0.23857952034491758,-0.0788064269319051,6,0.48559670781893005
2022,0.0,0.0,0.0,0,1.0
2023,-0.07708878108446093,0.11971427315355021,-0.09973110872240887,4,0.8223140495867769
2024,-0.05469525978231127,0.3047694997322486,-0.2550410754294248,3,0.8388429752066116
2025,0.18525834868659619,0.24203204504276385,-0.11907066795740573,8,0.4156378600823045
2026,0.08510081732310315,0.2860932352062899,-0.1693849615359293,5,0.3684210526315789
