etf,date,prev_date,prev_price,current_price_before,original_return,adjust_factor,current_price_after,new_return
consumer,2021-06-25,2021-06-24,4.94,1.261,-0.7447368421052631,3.917525773195877,4.94,0.0
new_energy,2024-09-18,2024-09-13,0.497,1.597,2.2132796780684103,0.3112085159674389,0.49699999999999994,-1.1102230246251565e-16
