etf,start_date,end_date,valid_days,missing_days,missing_ratio,first_price,last_price,max_daily_return,min_daily_return,abnormal_up_days,abnormal_down_days
hs300,2020-01-02,2026-05-29,1550,0,0.0,4.149,4.923,0.0940811579219436,-0.08839528558476872,0,0
zz500,2020-01-02,2026-05-29,1550,0,0.0,5.813,8.443,0.0913890405971236,-0.12742382271468145,0,0
cyb,2020-01-02,2026-05-29,1549,1,0.0006451612903225806,1.765,4.053,0.19999999999999996,-0.16280806572068707,2,1
kc50,2020-11-16,2026-05-29,1341,209,0.13483870967741934,1.465,1.844,0.19999999999999996,-0.09176029962546828,2,0
securities,2020-01-02,2026-05-29,1550,0,0.0,1.049,1.033,0.1003976143141152,-0.1001838235294118,0,0
consumer,2020-01-02,2026-05-29,1550,0,0.0,3.025,2.699175257731959,0.10011778563015339,-0.10010319917440658,0,0
medicine,2020-01-02,2026-05-29,1549,1,0.0006451612903225806,1.895,0.344,0.1004566210045661,-0.08883826879271062,0,0
new_energy,2021-02-04,2026-05-29,1284,266,0.17161290322580644,0.968,0.9700369442705072,0.10059880239520957,-0.09978655282817506,0,0
dividend,2020-01-02,2026-05-29,1550,0,0.0,2.934,3.206,0.07084785133565608,-0.09336332958380189,0,0
