date,hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend,selected_etf,strategy_return,strategy_nav,cummax_nav,drawdown
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash,0.0,1.0,1.0,0.0
2020-01-03,-0.002410219329958996,0.0018923103388956974,-0.0005665722379603055,0.0,-0.0038131553860819567,-0.005619834710743787,-0.004221635883905006,0.0,-0.0023858214042263848,cash,0.0,1.0,1.0,0.0
2020-01-06,-0.003865668035757386,0.011332417582417653,0.013605442176870763,0.0,0.0,0.0016622340425531679,-0.010598834128245915,0.0,-0.00204988042364207,cash,0.0,1.0,1.0,0.0
2020-01-07,0.007761338830948317,0.012903225806451646,0.019015659955257336,0.0,0.007655502392344582,0.022236973116495307,0.011783610069630468,0.0,0.006846970215679482,cash,0.0,1.0,1.0,0.0
2020-01-08,-0.009867629362214303,-0.01391216895742542,-0.016465422612513714,0.0,-0.03038936372269707,-0.006818181818181834,-0.009528851244044456,0.0,-0.006800408024481452,cash,0.0,1.0,1.0,0.0
2020-01-09,0.010695187165775444,0.012578616352201255,0.026227678571428603,0.0,0.014691478942213676,0.015691402419091283,0.0256547300908605,0.0,0.007874015748031482,cash,0.0,1.0,1.0,0.0
2020-01-10,-0.00024050024050037422,-0.00419674332717801,-0.004350190320826508,0.0,0.0019305019305020377,-0.0032185387833923995,0.005732152162584603,0.0,-0.0030570652173912416,cash,0.0,1.0,1.0,0.0
2020-01-13,0.010825114265095026,0.0166891436277814,0.016930638995084735,0.0,0.011560693641618602,0.014853083629318586,0.006217616580310947,0.0,0.0037478705281090985,cash,0.0,1.0,1.0,0.0
2020-01-14,-0.004283674440742402,-0.004311059525783367,-0.0064446831364124435,0.0,-0.013333333333333308,-0.00795418390073177,-0.009268795056642687,0.0,0.005091649694500822,cash,0.0,1.0,1.0,0.0
2020-01-15,-0.007648183556405397,-0.0029975020815986575,-0.001621621621621716,0.0,-0.004826254826254983,0.001603592046183655,0.004158004158004269,0.0,-0.0033772374197905686,cash,0.0,1.0,1.0,0.0
