candidate,top_n,momentum_threshold,threshold_percent,stage,stage_description,start_date,end_date,trading_days,final_value,period_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,cash_ratio,invested_day_ratio,average_holding_count_when_invested,active_signal_count,total_cost
Top1_4.00,1,0.04,4.0,2020_2022,阶段1：2020-2022,2020-01-02,2022-12-30,728,1.634293038122641,0.634293038122641,0.17838957132787603,0.1385754999699294,1.2873095992190986,-0.0788064269319051,2.263642424519748,0.8282967032967034,0.1717032967032967,1.0,6,0.008
Top1_4.00,1,0.04,4.0,2023_2024,阶段2：2023-2024,2023-01-03,2024-12-31,484,0.8724323500409449,-0.12756764995905512,-0.06617797061881148,0.23130276550546122,-0.2861097249494363,-0.25504107542942456,-0.2594796563941104,0.8305785123966942,0.16942148760330578,1.0,4,0.008
Top1_4.00,1,0.04,4.0,2025_2026,阶段3：2025-2026,2025-01-02,2026-05-29,338,1.2861248028988566,0.28612480289885656,0.19663105122663427,0.25475186556706453,0.7718532336905313,-0.16938496153592952,1.1608530618281916,0.40236686390532544,0.5976331360946746,1.0,10,0.017
Top3_4.00,3,0.04,4.0,2020_2022,阶段1：2020-2022,2020-01-02,2022-12-30,728,1.4202659660584487,0.4202659660584487,0.12439183003014276,0.11255147770114918,1.1051994391440378,-0.06786626459018064,1.8328963702555192,0.8282967032967034,0.1717032967032967,2.136,6,0.009333333333333334
Top3_4.00,3,0.04,4.0,2023_2024,阶段2：2023-2024,2023-01-03,2024-12-31,484,0.8679121332035975,-0.1320878667964025,-0.06860856318921638,0.1448774895879626,-0.47356261752147893,-0.19838883671247187,-0.3458287488658037,0.8305785123966942,0.16942148760330578,3.0,4,0.008
Top3_4.00,3,0.04,4.0,2025_2026,阶段3：2025-2026,2025-01-02,2026-05-29,338,1.508193341937379,0.508193341937379,0.3406254918072671,0.23552385634653247,1.446246240576563,-0.11224559575436055,3.034644606926899,0.40236686390532544,0.5976331360946746,2.0247524752475248,10,0.015
Top4_4.00,4,0.04,4.0,2020_2022,阶段1：2020-2022,2020-01-02,2022-12-30,728,1.4068545262985817,0.40685452629858165,0.12083253663946047,0.11215250395090606,1.0773949076728062,-0.06786626459018064,1.7804506755915275,0.8282967032967034,0.1717032967032967,2.448,6,0.009
Top4_4.00,4,0.04,4.0,2023_2024,阶段2：2023-2024,2023-01-03,2024-12-31,484,0.8992987097245461,-0.10070129027545394,-0.05185919695855212,0.15736013333309049,-0.3295574035183339,-0.18574369760719556,-0.27919761276757926,0.8305785123966942,0.16942148760330578,3.7560975609756095,4,0.007
Top4_4.00,4,0.04,4.0,2025_2026,阶段3：2025-2026,2025-01-02,2026-05-29,338,1.4722111820140928,0.47221118201409285,0.31772970091964914,0.23246990346320998,1.3667562819370815,-0.1122455957543611,2.8306651925566024,0.40236686390532544,0.5976331360946746,2.133663366336634,10,0.01566666666666667
Top4_3.75,4,0.0375,3.75,2020_2022,阶段1：2020-2022,2020-01-02,2022-12-30,728,1.3944025389838233,0.39440253898382327,0.11750759222594187,0.10919736313326149,1.0761028366824097,-0.06375715132466009,1.843049599684547,0.8282967032967034,0.1717032967032967,2.608,6,0.009
Top4_3.75,4,0.0375,3.75,2023_2024,阶段2：2023-2024,2023-01-03,2024-12-31,484,0.9151010423272355,-0.08489895767276445,-0.043536577712833036,0.15631257816757224,-0.2785225490053679,-0.17373051163517472,-0.2505983393651522,0.8305785123966942,0.16942148760330578,4.0,4,0.007
Top4_3.75,4,0.0375,3.75,2025_2026,阶段3：2025-2026,2025-01-02,2026-05-29,338,1.4226268458382396,0.4226268458382396,0.2859138976347195,0.23258282754248505,1.22929925934662,-0.1364640334866314,2.0951593641904838,0.40236686390532544,0.5976331360946746,2.3415841584158414,10,0.0155
