candidate,top_n,momentum_threshold,threshold_percent,stage,stage_description,start_date,end_date,trading_days,final_value,period_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,cash_ratio,invested_day_ratio,average_holding_count_when_invested,active_signal_count,total_cost
Top1_4.00,1,0.04,4.0,full_sample,全样本,2020-01-02,2026-05-29,1550,1.8337697542893734,0.8337697542893734,0.09931713429007316,0.19965797112230396,0.4974363594491037,-0.2550410754294248,0.3894162307888962,0.7361290322580645,0.26387096774193547,1.0,20,0.033
Top3_4.00,3,0.04,4.0,full_sample,全样本,2020-01-02,2026-05-29,1550,1.8590987510369477,0.8590987510369477,0.10167456641140471,0.15697097864661136,0.6477284354600641,-0.19838883671247198,0.512501449659505,0.7361290322580645,0.26387096774193547,2.254278728606357,20,0.03233333333333333
Top4_4.00,4,0.04,4.0,full_sample,全样本,2020-01-02,2026-05-29,1550,1.8626157652982591,0.8626157652982591,0.10199975748318324,0.15952409234089046,0.6394003312378532,-0.18574369760719578,0.5491424947235019,0.7361290322580645,0.26387096774193547,2.555012224938875,20,0.03166666666666667
Top4_3.75,4,0.0375,3.75,full_sample,全样本,2020-01-02,2026-05-29,1550,1.8152991936932235,0.8152991936932235,0.09758064751828477,0.1582339770280604,0.6166858051035418,-0.1737305116351746,0.5616782371722893,0.7361290322580645,0.26387096774193547,2.7555012224938875,20,0.0315
