stage,Top1_4.00,Top3_4.00,Top4_3.75,Top4_4.00
2020_2022,0.1385754999699294,0.11255147770114918,0.10919736313326149,0.11215250395090606
2023_2024,0.23130276550546122,0.1448774895879626,0.15631257816757224,0.15736013333309049
2025_2026,0.25475186556706453,0.23552385634653247,0.23258282754248505,0.23246990346320998
