stage,Top1_4.00,Top3_4.00,Top4_3.75,Top4_4.00
2020_2022,-0.0788064269319051,-0.06786626459018064,-0.06375715132466009,-0.06786626459018064
2023_2024,-0.25504107542942456,-0.19838883671247187,-0.17373051163517472,-0.18574369760719556
2025_2026,-0.16938496153592952,-0.11224559575436055,-0.1364640334866314,-0.1122455957543611
