top_n,final_value,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,max_drawdown_start,max_drawdown_end,cash_ratio,average_invested_weight,invested_day_ratio,average_holding_count,average_holding_count_when_invested,maximum_holding_count,average_selected_count_when_active,rebalance_days,invested_signal_count,cash_signal_count,total_buy_turnover,total_sell_turnover,total_turnover,total_cost
1,1.8337697542893734,0.8337697542893734,0.09931713429007316,0.19965797112230396,0.4974363594491037,-0.2550410754294248,2024-10-08,2024-10-17,0.7361290322580645,0.26387096774193547,0.26387096774193547,0.26387096774193547,1.0,1,1.0,26,20,57,17.0,16.0,33.0,0.033
2,1.8358857576532746,0.8358857576532746,0.09951512426764153,0.16771896667930217,0.5933444871379742,-0.23650331862800456,2023-02-01,2024-10-17,0.7361290322580645,0.26387096774193547,0.26387096774193547,0.44967741935483874,1.7041564792176038,2,1.7,28,20,57,17.0,16.0,33.0,0.033
3,1.8590987510369477,0.8590987510369477,0.10167456641140471,0.15697097864661136,0.6477284354600641,-0.19838883671247198,2023-02-01,2024-10-17,0.7361290322580645,0.26387096774193547,0.26387096774193547,0.5948387096774194,2.254278728606357,3,2.25,28,20,57,16.666666666666664,15.666666666666666,32.33333333333333,0.03233333333333333
4,1.8626157652982591,0.8626157652982591,0.10199975748318324,0.15952409234089046,0.6394003312378532,-0.18574369760719578,2023-02-01,2024-10-17,0.7361290322580645,0.26387096774193547,0.26387096774193547,0.6741935483870968,2.555012224938875,4,2.55,29,20,57,16.333333333333332,15.333333333333332,31.666666666666664,0.03166666666666667
