year,Top1_4.00,Top3_4.00,Top4_3.75,Top4_4.00
2020,0.0,0.0,0.0,0.0
2021,1.0,2.136,2.608,2.448
2022,0.0,0.0,0.0,0.0
2023,1.0,3.0,4.0,3.5348837209302326
2024,1.0,3.0,4.0,4.0
2025,1.0,2.3028169014084505,2.5985915492957745,2.4577464788732395
2026,1.0,1.3666666666666667,1.7333333333333334,1.3666666666666667
