candidate,year_count,positive_years,negative_years,flat_years,average_year_return,median_year_return,year_return_std,best_year,best_year_return,worst_year,worst_year_return,average_max_drawdown,worst_year_drawdown,average_sharpe,average_cash_ratio,average_active_signal_count
Top1_4.00,7,3,2,2,0.11040973760936688,0.0,0.247484862694318,2021,0.634293038122641,2023,-0.07708878108446093,-0.10314774865386768,-0.2550410754294248,0.6880971403694194,0.7044018064751716,2.857142857142857
Top3_4.00,7,3,2,2,0.10697794488923491,0.0,0.19782635064873455,2021,0.4202659660584487,2023,-0.10598236879616085,-0.08234921491183958,-0.16998048581969505,0.6959123872426358,0.7044018064751716,2.857142857142857
Top4_3.75,7,4,1,2,0.10041827293991931,0.00892961893225852,0.17689874804259223,2021,0.39440253898382327,2023,-0.0929981386653328,-0.08456142041613939,-0.1737305116351746,0.6317470446829461,0.7044018064751716,2.857142857142857
Top4_4.00,7,4,1,2,0.1055986243887135,0.00892961893225852,0.18518146369577615,2021,0.40685452629858165,2023,-0.10866061135536309,-0.08381441047151872,-0.1737305116351746,0.6836068261803306,0.7044018064751716,2.857142857142857
