year,Top1_4.00,Top3_4.00,Top4_3.75,Top4_4.00
2020,0.0,0.0,0.0,0.0
2021,-0.0788064269319051,-0.06786626459018064,-0.06375715132466009,-0.06786626459018064
2022,0.0,0.0,0.0,0.0
2023,-0.09973110872240887,-0.11896052998819329,-0.10915434081121389,-0.12546687309046767
2024,-0.2550410754294248,-0.16998048581969505,-0.1737305116351746,-0.1737305116351746
2025,-0.11907066795740573,-0.10739162823044701,-0.1088239056552961,-0.10739162823044701
2026,-0.1693849615359293,-0.1122455957543611,-0.13646403348663105,-0.1122455957543611
