candidate,top_n,momentum_threshold,pool_test,invest_pool,pool_size,final_value,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,max_dd_start,max_dd_end,cash_ratio,avg_holding_count,avg_holding_count_when_invested,rebalance_days,total_cost_rate
Top1_4.00,1,0.04,without_medicine,"hs300,zz500,cyb,kc50,securities,consumer,new_energy,dividend",8,2.12949965489385,1.1294996548938498,0.1307629749889554,0.20290880221271207,0.6444421018851355,-0.25504107542942467,0.5127133924164318,2024-10-08,2024-10-17,0.7496774193548387,0.2503225806451613,1.0,26,0.031000000000000014
Top1_4.00,1,0.04,without_defensive_group,"hs300,zz500,cyb,kc50,securities,new_energy",6,2.051308217315654,1.051308217315654,0.12390651378046846,0.20199258789702954,0.613421091686952,-0.25504107542942467,0.48582963968388715,2024-10-08,2024-10-17,0.7645161290322581,0.23548387096774193,1.0,24,0.029000000000000012
Top1_4.00,1,0.04,full_pool,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",9,1.8331133008476588,0.8331133008476588,0.1035435775853426,0.19995313937237424,0.5178392192808366,-0.25504107542942467,0.40598784886317396,2024-10-08,2024-10-17,0.7361290322580645,0.26387096774193547,1.0,26,0.033000000000000015
Top1_4.00,1,0.04,without_hs300,"zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.8331133008476588,0.8331133008476588,0.1035435775853426,0.19995313937237424,0.5178392192808366,-0.25504107542942467,0.40598784886317396,2024-10-08,2024-10-17,0.7361290322580645,0.26387096774193547,1.0,26,0.033000000000000015
Top1_4.00,1,0.04,without_consumer,"hs300,zz500,cyb,kc50,securities,medicine,new_energy,dividend",8,1.8331133008476588,0.8331133008476588,0.1035435775853426,0.19995313937237424,0.5178392192808366,-0.25504107542942467,0.40598784886317396,2024-10-08,2024-10-17,0.7361290322580645,0.26387096774193547,1.0,26,0.033000000000000015
Top1_4.00,1,0.04,without_zz500,"hs300,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.8050805307366338,0.8050805307366338,0.10078215315557637,0.1978972765375272,0.5092649829188786,-0.25504107542942467,0.39516047752655026,2024-10-08,2024-10-17,0.7490322580645161,0.2509677419354839,1.0,24,0.031000000000000014
Top1_4.00,1,0.04,without_dividend,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy",8,1.7658064120714185,0.7658064120714185,0.09685234180080005,0.199020084038439,0.4866460702634105,-0.25504107542942467,0.37975193461572887,2024-10-08,2024-10-17,0.7509677419354839,0.24903225806451612,1.0,25,0.031000000000000014
Top1_4.00,1,0.04,without_kc50,"hs300,zz500,cyb,securities,consumer,medicine,new_energy,dividend",8,1.7569320891770255,0.7569320891770255,0.0959542414128336,0.19078741952357675,0.5029379906308548,-0.25504107542942467,0.3762305395367037,2024-10-08,2024-10-17,0.7612903225806451,0.23870967741935484,1.0,24,0.030000000000000013
Top1_4.00,1,0.04,without_securities,"hs300,zz500,cyb,kc50,consumer,medicine,new_energy,dividend",8,1.6967234000977438,0.6967234000977438,0.08975861891911152,0.19646157244063567,0.4568762114852444,-0.25504107542942467,0.35193789379997203,2024-10-08,2024-10-17,0.7361290322580645,0.26387096774193547,1.0,26,0.033000000000000015
Top1_4.00,1,0.04,without_cyb,"hs300,zz500,kc50,securities,consumer,medicine,new_energy,dividend",8,1.5671750568575018,0.5671750568575018,0.0757771880496092,0.169887944694855,0.44604217318489986,-0.26586130953054166,0.2850252569033707,2023-02-01,2025-09-04,0.747741935483871,0.25225806451612903,1.0,25,0.031000000000000014
